Divison,District,Upazila,
,,4. Rajapur Upazila,
,Patuakhali District,1. Bauphal Upazila,
,,2. Dashmina Upazila,
,,3. Dumki Upazila,
,,4. Galachipa Upazila,
,,5. Kalapara Upazila,
,,6. Mirzaganj Upazila,
,,7. Patuakhali Sadar Upazila,
,,8. Rangabali Upazila,
,Pirojpur District,1. Bhandaria Upazila,
,,2. Indurkani Upazila,
,,3. Kawkhali Upazila,
,,4. Mathbaria Upazila,
,,5. Nazirpur Upazila,
,,6. Nesarabad (Swarupkati) Upazila,
,,7. Pirojpur Sadar Upazila,
Chittagong,Bandarban District,1. Ali Kadam Upazila,
,,2. Bandarban Sadar Upazila,
,,3. Lama Upazila,
,,4. Naikhongchhari Upazila,
,,5. Rowangchhari Upazila,
,,6. Ruma Upazila,
,,7. Thanchi Upazila,
,Brahmanbaria District,1. Akhaura Upazila,
,,2. Bancharampur Upazila,
,,3. Brahmanbaria Sadar Upazila,
,,4. Kasba Upazila,
,,5. Nabinagar Upazila,
,,6. Nasirnagar Upazila,
,,7. Sarail Upazila,
,,8. Ashuganj Upazila,
,,9. Bijoynagar Upazila,
,Chandpur District,1. Chandpur Sadar Upazila,
,,2. Faridganj Upazila,
,,3. Haimchar Upazila,
,,4. Haziganj Upazila,
,,5. Kachua Upazila,
,,6. Matlab Dakshin Upazila,
,,7. Matlab Uttar Upazila,
,,8. Shahrasti Upazila,
,Chittagong District,1. Anwara Upazila,
,,2. Banshkhali Upazila,
,,3. Boalkhali Upazila,
,,4. Chandanaish Upazila,
,,5. Fatikchhari North Upazila,
,,6. Fatikchhari Upazila,
,,7. Hathazari Upazila,
,,8. Karnaphuli Upazila,
,,9. Lohagara Upazila,
,,10. Mirsharai Upazila,
,,11. Patiya Upazila,
,,12. Rangunia Upazila,
,,13. Raozan Upazila,
,,14. Sandwip Upazila,
,,15. Satkania Upazila,
,,16. Sitakunda Upazila,
,Cumilla District,1. Bangra Upazila,
,,2. Barura Upazila,
,,3. Brahmanpara Upazila,
,,4. Burichang Upazila,
,,5. Chandina Upazila,
,,6. Chauddagram Upazila,
,,7. Daudkandi Upazila,
,,8. Debidwar Upazila,
,,9. Homna Upazila,
,,10. Laksam Upazila,
,,11. Lalmai Upazila,
,,12. Muradnagar Upazila,
,,13. Nangalkot Upazila,
,,14. Cumilla Adarsha Sadar Upazila,
,,15. Meghna Upazila,
,,16. Titas Upazila,
,,17. Monohargonj Upazila,
,,18. Cumilla Sadar Dakshin Upazila,
,Cox's Bazar District,1. Chakaria Upazila,
,,2. Cox's Bazar Sadar Upazila,
,,3. Kutubdia Upazila,
,,4. Maheshkhali Upazila,
,,5. Ramu Upazila,
,,6. Teknaf Upazila,
,,7. Ukhia Upazila,
,,8. Pekua Upazila,
,,9. Eidgaon Upazila,
,,10. Matamuhuri Upazila,
,Feni District,1. Chhagalnaiya Upazila,
,,2. Daganbhuiyan Upazila,
,,3. Feni Sadar Upazila,
,,4. Parshuram Upazila,
,,5. Sonagazi Upazila,
,,6. Fulgazi Upazila,
,Khagrachhari District,1. Dighinala Upazila,
,,2. Khagrachhari Sadar Upazila,
,,3. Lakshmichhari Upazila,
,,4. Mahalchhari Upazila,
,,5. Manikchhari Upazila,
,,6. Matiranga Upazila,
,,7. Panchhari Upazila,
,,8. Ramgarh Upazila,
,,9. Guimara Upazila,
,Lakshmipur District,1. Lakshmipur Sadar Upazila,
,,2. Raipur Upazila,
,,3. Ramganj Upazila,
,,4. Ramgati Upazila,
,,5. Kamalnagar Upazila,
,,6. Chandraganj Upazila,
,Noakhali District,1. Begumganj Upazila,
,,2. Noakhali Sadar Upazila,
,,3. Chatkhil Upazila,
,,4. Companiganj Upazila,
,,5. Hatiya Upazila,
,,6. Senbagh Upazila,
,,7. Sonaimuri Upazila,
,,8. Subarnachar Upazila,
,,9. Kabirhat Upazila,
,Rangamati District,1. Bagaichhari Upazila,
,,2. Barkal Upazila,
,,3. Kawkhali Upazila,
,,4. Belaichhari Upazila,
,,5. Kaptai Upazila,
,,6. Juraichhari Upazila,
,,7. Langadu Upazila,
,,8. Naniyachar Upazila,
,,9. Rajasthali Upazila,
,,10. Rangamati Sadar Upazila,
Dhaka,Dhaka District,1. Dhamrai Upazila,
,,2. Dohar Upazila,
,,3. Keraniganj Upazila,
,,4. Nawabganj Upazila,
,,5. Savar Upazila,
,Faridpur District,1. Alfadanga Upazila,
,,2. Bhanga Upazila,
,,3. Boalmari Upazila,
,,4. Charbhadrasan Upazila,
,,5. Faridpur Sadar Upazila,
,,6. Madhukhali Upazila,
,,7. Nagarkanda Upazila,
,,8. Sadarpur Upazila,
,,9. Saltha Upazila,
,Gazipur District,1. Gazipur Sadar Upazila,
,,2. Kaliakair Upazila,
,,3. Kaliganj Upazila,
,,4. Kapasia Upazila,
,,5. Sreepur Upazila,
,Gopalganj District,1. Gopalganj Sadar Upazila,
,,2. Kashiani Upazila,
,,3. Kotalipara Upazila,
,,4. Muksudpur Upazila,
,,5. Tungipara Upazila,
,Kishoreganj District,1. Austagram Upazila,
,,2. Bajitpur Upazila,
,,3. Bhairab Upazila,
,,4. Hossainpur Upazila,
,,5. Itna Upazila,
,,6. Karimganj Upazila,
,,7. Katiadi Upazila,
,,8. Kishoreganj Sadar Upazila,
,,9. Kuliarchar Upazila,
,,10. Mithamain Upazila,
,,11. Nikli Upazila,
,,12. Pakundia Upazila,
,,13. Tarail Upazila,
,Madaripur District,1. Rajoir Upazila,
,,2. Madaripur Sadar Upazila,
,,3. Kalkini Upazila,
,,4. Shibchar Upazila,
,,5. Dasar Upazila,
,Manikganj District,1. Daulatpur Upazila,
,,2. Ghior Upazila,
,,3. Harirampur Upazila,
,,4. Manikgonj Sadar Upazila,
,,5. Saturia Upazila,
,,6. Shivalaya Upazila,
,,7. Singair Upazila,
,Munshiganj District,1. Gazaria Upazila,
,,2. Lohajang Upazila,
,,3. Munshiganj Sadar Upazila,
,,4. Sirajdikhan Upazila,
,,5. Sreenagar Upazila,
,,6. Tongibari Upazila,
,Narayanganj District,1. Araihazar Upazila,
,,2. Bandar Upazila,
,,3. Narayanganj Sadar Upazila,
,,4. Rupganj Upazila,
,,5. Sonargaon Upazila,
,Narsingdi District,1. Narsingdi Sadar Upazila,
,,2. Belabo Upazila,
,,3. Monohardi Upazila,
,,4. Palash Upazila,
,,5. Raipura Upazila,
,,6. Shibpur Upazila,
,Rajbari District,1. Baliakandi Upazila,
,,2. Goalandaghat Upazila,
,,3. Pangsha Upazila,
,,4. Rajbari Sadar Upazila,
,,5. Kalukhali Upazila,
,Shariatpur District,1. Bhedarganj Upazila,
,,2. Damudya Upazila,
,,3. Gosairhat Upazila,
,,4. Naria Upazila,
,,5. Shariatpur Sadar Upazila,
,,6. Zajira Upazila,
,Tangail District,1. Gopalpur Upazila,
,,2. Basail Upazila,
,,3. Bhuapur Upazila,
,,4. Delduar Upazila,
,,5. Ghatail Upazila,
,,6. Kalihati Upazila,
,,7. Madhupur Upazila,
,,8. Mirzapur Upazila,
,,9. Nagarpur Upazila,
,,10. Sakhipur Upazila,
,,11. Dhanbari Upazila,
,,12. Tangail Sadar Upazila,
Khulna,Bagerhat District,1. Bagerhat Sadar Upazila,
,,2. Chitalmari Upazila,
,,3. Fakirhat Upazila,
,,4. Kachua Upazila,
,,5. Mollahat Upazila,
,,6. Mongla Upazila,
,,7. Morrelganj Upazila,
,,8. Rampal Upazila,
,,9. Sarankhola Upazila,
,Chuadanga District,1. Alamdanga Upazila,
,,2. Chuadanga Sadar Upazila,
,,3. Damurhuda Upazila,
,,4. Jibannagar Upazila,
,Jashore District,1. Abhaynagar Upazila,
,,2. Bagherpara Upazila,
,,3. Chaugachha Upazila,
,,4. Jhikargachha Upazila,
,,5. Keshabpur Upazila,
,,6. Jashore Sadar Upazila,
,,7. Manirampur Upazila,
,,8. Sharsha Upazila,
,Jhenaida District,1. Harinakunda Upazila,
,,2. Jhenaidah Sadar Upazila,
,,3. Kaliganj Upazila,
,,4. Kotchandpur Upazila,
,,5. Maheshpur Upazila,
,,6. Shailkupa Upazila,
,Khulna District,1. Batiaghata Upazila,
,,2. Dacope Upazila,
,,3. Dumuria Upazila,
,,4. Dighalia Upazila,
,,5. Koyra Upazila,
,,6. Paikgachha Upazila,
,,7. Phultala Upazila,
,,8. Rupsha Upazila,
,,9. Terokhada Upazila,
,Kushtia District,1. Bheramara Upazila,
,,2. Daulatpur Upazila,
,,3. Khoksa Upazila,
,,4. Kumarkhali Upazila,
,,5. Kushtia Sadar Upazila,
,,6. Mirpur Upazila,
,Magura District,1. Magura Sadar Upazila,
,,2. Mohammadpur Upazila,
,,3. Shalikha Upazila,
,,4. Sreepur Upazila,
,Meherpur District,1. Gangni Upazila,
,,2. Meherpur Sadar Upazila,
,,3. Mujibnagar Upazila,
,Narail District,1. Kalia Upazila,
,,2. Lohagara Upazila,
,,3. Narail Sadar Upazila,
,Satkhira District,1. Assasuni Upazila,
,,2. Debhata Upazila,
,,3. Kalaroa Upazila,
,,4. Kaliganj Upazila,
,,5. Satkhira Sadar Upazila,
,,6. Shyamnagar Upazila,
,,7. Tala Upazila,
Sylhet,Habiganj District,1. Ajmiriganj Upazila,
,,2. Bahubal Upazila,
,,3. Baniyachong Upazila,
,,4. Chunarughat Upazila,
,,5. Habiganj Sadar Upazila,
,,6. Lakhai Upazila,
,,7. Madhabpur Upazila,
,,8. Nabiganj Upazila,
,,9. Shayestaganj Upazila,
,Moulvibazar District,1. Barlekha Upazila,
,,2. Juri Upazila,
,,3. Kamalganj Upazila,
,,4. Kulaura Upazila,
,,5. Moulvibazar Sadar Upazila,
,,6. Rajnagar Upazila,
,,7. Sreemangal Upazila,
,Sunamganj District,1. Bishwamvarpur Upazila,
,,2. Chhatak Upazila,
,,3. Shantiganj Upazila,
,,4. Derai Upazila,
,,5. Dharamapasha Upazila,
,,6. Dowarabazar Upazila,
,,7. Jagannathpur Upazila,
,,8. Jamalganj Upazila,
,,9. Sullah Upazila,
,,10. Sunamganj Sadar Upazila,
,,11. Tahirpur Upazila,
,,12. Madhyanagar Upazila,
,Sylhet District,1. Balaganj Upazila,
,,2. Beanibazar Upazila,
,,3. Bishwanath Upazila,
,,4. Companiganj Upazila,
,,5. Dakshin Surma Upazila,
,,6. Fenchuganj Upazila,
,,7. Golapganj Upazila,
,,8. Gowainghat Upazila,
,,9. Jaintiapur Upazila,
,,10. Kanaighat Upazila,
,,11. Osmani Nagar Upazila,
,,12. Sylhet Sadar Upazila,
,,13. Zakiganj Upazila,
