Divison,District,Upazila,"Lat,long",worker,citizen,Coordinator ,Planner,sensors,centers
,,2. Banshkhali Upazila,"22.0254192, 91.94631849999999",worker232,citizen232,Coordinator232,Planner232,sensor232,center232
,,3. Boalkhali Upazila,"22.3791057, 91.9172519",worker233,citizen233,Coordinator233,Planner233,sensor233,center233
,,4. Chandanaish Upazila,"22.2439381, 92.0125527",worker234,citizen234,Coordinator234,Planner234,sensor234,center234
,,5. Fatikchhari North Upazila,"22.7594211, 91.7392812",worker235,citizen235,Coordinator235,Planner235,sensor235,center235
,,6. Fatikchhari Upazila,"22.7587557, 91.73881349999999",worker236,citizen236,Coordinator236,Planner236,sensor236,center236
,,7. Hathazari Upazila,"22.5084634, 91.80745859999999",worker237,citizen237,Coordinator237,Planner237,sensor237,center237
,,8. Karnaphuli Upazila,Not Found,worker238,citizen238,Coordinator238,Planner238,sensor238,center238
,,9. Lohagara Upazila,"22.0449236, 92.10782150000001",worker239,citizen239,Coordinator239,Planner239,sensor239,center239
,,10. Mirsharai Upazila,"22.773039, 91.5741517",worker240,citizen240,Coordinator240,Planner240,sensor240,center240
,,11. Patiya Upazila,"22.2964332, 91.9779193",worker241,citizen241,Coordinator241,Planner241,sensor241,center241
,,12. Rangunia Upazila,"22.4695344, 92.05180610000001",worker242,citizen242,Coordinator242,Planner242,sensor242,center242
,,13. Raozan Upazila,"22.5348906, 91.9104006",worker243,citizen243,Coordinator243,Planner243,sensor243,center243
,,14. Sandwip Upazila,"22.4862451, 91.48544969999999",worker244,citizen244,Coordinator244,Planner244,sensor244,center244
,,15. Satkania Upazila,"22.1000226, 92.0812156",worker245,citizen245,Coordinator245,Planner245,sensor245,center245
,,16. Sitakunda Upazila,"22.6168106, 91.6808612",worker246,citizen246,Coordinator246,Planner246,sensor246,center246
,Cumilla District,1. Bangra Upazila,Not Found,worker247,citizen247,Coordinator247,Planner247,sensor247,center247
,,2. Barura Upazila,"23.3762244, 91.0556407",worker248,citizen248,Coordinator248,Planner248,sensor248,center248
,,3. Brahmanpara Upazila,"23.6225266, 91.1017334",worker249,citizen249,Coordinator249,Planner249,sensor249,center249
,,4. Burichang Upazila,"23.5534788, 91.1266892",worker250,citizen250,Coordinator250,Planner250,sensor250,center250
,,5. Chandina Upazila,"23.4892481, 91.00836369999999",worker251,citizen251,Coordinator251,Planner251,sensor251,center251
,,6. Chauddagram Upazila,"23.3057897, 91.26984750000001",worker252,citizen252,Coordinator252,Planner252,sensor252,center252
,,7. Daudkandi Upazila,"23.5337738, 90.7247008",worker253,citizen253,Coordinator253,Planner253,sensor253,center253
,,8. Debidwar Upazila,"23.6115377, 90.9772835",worker254,citizen254,Coordinator254,Planner254,sensor254,center254
,,9. Homna Upazila,"23.6824728, 90.78329079999999",worker255,citizen255,Coordinator255,Planner255,sensor255,center255
,,10. Laksam Upazila,"23.2384025, 91.1238537",worker256,citizen256,Coordinator256,Planner256,sensor256,center256
,,11. Lalmai Upazila,"23.3585488, 91.1479713",worker257,citizen257,Coordinator257,Planner257,sensor257,center257
,,12. Muradnagar Upazila,"23.6392755, 90.9310271",worker258,citizen258,Coordinator258,Planner258,sensor258,center258
,,13. Nangalkot Upazila,"23.1668383, 91.1983186",worker259,citizen259,Coordinator259,Planner259,sensor259,center259
,,14. Cumilla Adarsha Sadar Upazila,"23.4607132, 91.1808387",worker260,citizen260,Coordinator260,Planner260,sensor260,center260
,,15. Meghna Upazila,"23.6248412, 90.70103189999999",worker261,citizen261,Coordinator261,Planner261,sensor261,center261
,,16. Titas Upazila,"23.6004277, 90.8153224",worker262,citizen262,Coordinator262,Planner262,sensor262,center262
,,17. Monohargonj Upazila,"23.1122951, 91.11583189999999",worker263,citizen263,Coordinator263,Planner263,sensor263,center263
,,18. Cumilla Sadar Dakshin Upazila,"23.4189058, 91.1726637",worker264,citizen264,Coordinator264,Planner264,sensor264,center264
,Cox's Bazar District,1. Chakaria Upazila,"21.7596391, 92.0765164",worker265,citizen265,Coordinator265,Planner265,sensor265,center265
,,2. Cox's Bazar Sadar Upazila,"21.4358519, 91.9928068",worker266,citizen266,Coordinator266,Planner266,sensor266,center266
,,3. Kutubdia Upazila,"21.816667, 91.858333",worker267,citizen267,Coordinator267,Planner267,sensor267,center267
,,4. Maheshkhali Upazila,"21.5373654, 91.9417617",worker268,citizen268,Coordinator268,Planner268,sensor268,center268
,,5. Ramu Upazila,"21.4285335, 92.0951583",worker269,citizen269,Coordinator269,Planner269,sensor269,center269
,,6. Teknaf Upazila,"20.858343, 92.2945843",worker270,citizen270,Coordinator270,Planner270,sensor270,center270
,,7. Ukhia Upazila,"21.2446617, 92.13891579999999",worker271,citizen271,Coordinator271,Planner271,sensor271,center271
,,8. Pekua Upazila,"21.8327393, 91.9573985",worker272,citizen272,Coordinator272,Planner272,sensor272,center272
,,9. Eidgaon Upazila,Not Found,worker273,citizen273,Coordinator273,Planner273,sensor273,center273
,,10. Matamuhuri Upazila,"21.6031593666061, 92.20251546878258",worker274,citizen274,Coordinator274,Planner274,sensor274,center274
,Feni District,1. Chhagalnaiya Upazila,"23.0397105, 91.5203971",worker275,citizen275,Coordinator275,Planner275,sensor275,center275
,,2. Daganbhuiyan Upazila,"22.9720014, 91.3083685",worker276,citizen276,Coordinator276,Planner276,sensor276,center276
,,3. Feni Sadar Upazila,"23.0100149, 91.3991863",worker277,citizen277,Coordinator277,Planner277,sensor277,center277
,,4. Parshuram Upazila,"23.2108438, 91.4455519",worker278,citizen278,Coordinator278,Planner278,sensor278,center278
,,5. Sonagazi Upazila,"22.8491219, 91.3915948",worker279,citizen279,Coordinator279,Planner279,sensor279,center279
,,6. Fulgazi Upazila,"23.1425162, 91.43140009999999",worker280,citizen280,Coordinator280,Planner280,sensor280,center280
,Khagrachhari District,1. Dighinala Upazila,"23.2408468, 92.0640687",worker281,citizen281,Coordinator281,Planner281,sensor281,center281
,,2. Khagrachhari Sadar Upazila,"23.1137064, 91.97949630000001",worker282,citizen282,Coordinator282,Planner282,sensor282,center282
,,3. Lakshmichhari Upazila,"22.7961681, 91.91236640000001",worker283,citizen283,Coordinator283,Planner283,sensor283,center283
,,4. Mahalchhari Upazila,"22.9316977, 92.02976799999999",worker284,citizen284,Coordinator284,Planner284,sensor284,center284
,,5. Manikchhari Upazila,"22.8417234, 91.83671",worker285,citizen285,Coordinator285,Planner285,sensor285,center285
,,6. Matiranga Upazila,"23.0407988, 91.8733017",worker286,citizen286,Coordinator286,Planner286,sensor286,center286
,,7. Panchhari Upazila,"23.3024586, 91.89771309999999",worker287,citizen287,Coordinator287,Planner287,sensor287,center287
,,8. Ramgarh Upazila,"22.9944438, 91.7419757",worker288,citizen288,Coordinator288,Planner288,sensor288,center288
,,9. Guimara Upazila,"22.9603925, 91.8695046",worker289,citizen289,Coordinator289,Planner289,sensor289,center289
,Lakshmipur District,1. Lakshmipur Sadar Upazila,"22.9446471, 90.8281883",worker290,citizen290,Coordinator290,Planner290,sensor290,center290
,,2. Raipur Upazila,"23.0367317, 90.7615158",worker291,citizen291,Coordinator291,Planner291,sensor291,center291
,,3. Ramganj Upazila,"23.0992453, 90.8609927",worker292,citizen292,Coordinator292,Planner292,sensor292,center292
,,4. Ramgati Upazila,"22.6577315, 90.91035169999999",worker293,citizen293,Coordinator293,Planner293,sensor293,center293
,,5. Kamalnagar Upazila,"22.737006, 90.86849319999999",worker294,citizen294,Coordinator294,Planner294,sensor294,center294
,,6. Chandraganj Upazila,"22.9448938, 90.9913184",worker295,citizen295,Coordinator295,Planner295,sensor295,center295
,Noakhali District,1. Begumganj Upazila,"22.9320465, 91.0923963",worker296,citizen296,Coordinator296,Planner296,sensor296,center296
,,2. Noakhali Sadar Upazila,"22.8652943, 91.0970586",worker297,citizen297,Coordinator297,Planner297,sensor297,center297
,,3. Chatkhil Upazila,"23.0513752, 90.97745979999999",worker298,citizen298,Coordinator298,Planner298,sensor298,center298
,,4. Companiganj Upazila,"22.8736722, 91.27794449999999",worker299,citizen299,Coordinator299,Planner299,sensor299,center299
,,5. Hatiya Upazila,"22.469593, 91.1294747",worker300,citizen300,Coordinator300,Planner300,sensor300,center300
,,6. Senbagh Upazila,"22.9874648, 91.23375779999999",worker301,citizen301,Coordinator301,Planner301,sensor301,center301
,,7. Sonaimuri Upazila,"23.0509273, 91.1113216",worker302,citizen302,Coordinator302,Planner302,sensor302,center302
,,8. Subarnachar Upazila,"22.6755632, 91.1256666",worker303,citizen303,Coordinator303,Planner303,sensor303,center303
,,9. Kabirhat Upazila,"22.7956429, 91.1989169",worker304,citizen304,Coordinator304,Planner304,sensor304,center304
,Rangamati District,1. Bagaichhari Upazila,"23.1649165, 92.19136429999999",worker305,citizen305,Coordinator305,Planner305,sensor305,center305
,,2. Barkal Upazila,"22.7251557, 92.3795109",worker306,citizen306,Coordinator306,Planner306,sensor306,center306
,,3. Kawkhali Upazila,"22.6074484, 90.08446599999999",worker307,citizen307,Coordinator307,Planner307,sensor307,center307
,,4. Belaichhari Upazila,"22.4912827, 92.33812879999999",worker308,citizen308,Coordinator308,Planner308,sensor308,center308
,,5. Kaptai Upazila,"22.4943822, 92.2212071",worker309,citizen309,Coordinator309,Planner309,sensor309,center309
,,6. Juraichhari Upazila,"22.6708223, 92.3788939",worker310,citizen310,Coordinator310,Planner310,sensor310,center310
,,7. Langadu Upazila,"22.8993392, 92.1534914",worker311,citizen311,Coordinator311,Planner311,sensor311,center311
,,8. Naniyachar Upazila,"22.862167, 92.1106617",worker312,citizen312,Coordinator312,Planner312,sensor312,center312
,,9. Rajasthali Upazila,"22.3762383, 92.15228049999999",worker313,citizen313,Coordinator313,Planner313,sensor313,center313
,,10. Rangamati Sadar Upazila,"22.6530165, 92.1788229",worker314,citizen314,Coordinator314,Planner314,sensor314,center314
Dhaka,Dhaka District,1. Dhamrai Upazila,"23.905154, 90.2200451",worker315,citizen315,Coordinator315,Planner315,sensor315,center315
,,2. Dohar Upazila,"23.6183388, 90.1196181",worker316,citizen316,Coordinator316,Planner316,sensor316,center316
,,3. Keraniganj Upazila,"23.7012548, 90.3974582",worker317,citizen317,Coordinator317,Planner317,sensor317,center317
,,4. Nawabganj Upazila,"23.6611431, 90.1620514",worker318,citizen318,Coordinator318,Planner318,sensor318,center318
,,5. Savar Upazila,"23.8479013, 90.257699",worker319,citizen319,Coordinator319,Planner319,sensor319,center319
,Faridpur District,1. Alfadanga Upazila,"23.2901138, 89.70261300000001",worker320,citizen320,Coordinator320,Planner320,sensor320,center320
,,2. Bhanga Upazila,"23.3846258, 89.9820228",worker321,citizen321,Coordinator321,Planner321,sensor321,center321
,,3. Boalmari Upazila,"23.3909152, 89.6838116",worker322,citizen322,Coordinator322,Planner322,sensor322,center322
,,4. Charbhadrasan Upazila,"23.5670897, 89.9952165",worker323,citizen323,Coordinator323,Planner323,sensor323,center323
,,5. Faridpur Sadar Upazila,"23.6019361, 89.8333981",worker324,citizen324,Coordinator324,Planner324,sensor324,center324
,,6. Madhukhali Upazila,"23.5429117, 89.62716139999999",worker325,citizen325,Coordinator325,Planner325,sensor325,center325
,,7. Nagarkanda Upazila,"23.4537695, 89.9066314",worker326,citizen326,Coordinator326,Planner326,sensor326,center326
,,8. Sadarpur Upazila,"23.4657012, 90.0279867",worker327,citizen327,Coordinator327,Planner327,sensor327,center327
,,9. Saltha Upazila,"23.4328101, 89.7825682",worker328,citizen328,Coordinator328,Planner328,sensor328,center328
,Gazipur District,1. Gazipur Sadar Upazila,"23.9999322, 90.4202176",worker329,citizen329,Coordinator329,Planner329,sensor329,center329
,,2. Kaliakair Upazila,"24.0777777, 90.20977289999999",worker330,citizen330,Coordinator330,Planner330,sensor330,center330
,,3. Kaliganj Upazila,"23.3562518, 89.1515476",worker331,citizen331,Coordinator331,Planner331,sensor331,center331
,,4. Kapasia Upazila,"24.1115572, 90.5661173",worker332,citizen332,Coordinator332,Planner332,sensor332,center332
,,5. Sreepur Upazila,"24.200673, 90.47364329999999",worker333,citizen333,Coordinator333,Planner333,sensor333,center333
,Gopalganj District,1. Gopalganj Sadar Upazila,"23.0084941, 89.8285341",worker334,citizen334,Coordinator334,Planner334,sensor334,center334
,,2. Kashiani Upazila,"23.2331635, 89.7239244",worker335,citizen335,Coordinator335,Planner335,sensor335,center335
,,3. Kotalipara Upazila,"22.9892822, 90.0279867",worker336,citizen336,Coordinator336,Planner336,sensor336,center336
,,4. Muksudpur Upazila,"23.3198489, 89.8668828",worker337,citizen337,Coordinator337,Planner337,sensor337,center337
,,5. Tungipara Upazila,"22.9073374, 89.89845079999999",worker338,citizen338,Coordinator338,Planner338,sensor338,center338
,Kishoreganj District,1. Austagram Upazila,"24.2796229, 91.1195412",worker339,citizen339,Coordinator339,Planner339,sensor339,center339
,,2. Bajitpur Upazila,"24.2127712, 90.9509188",worker340,citizen340,Coordinator340,Planner340,sensor340,center340
,,3. Bhairab Upazila,"24.0550524, 90.9830697",worker341,citizen341,Coordinator341,Planner341,sensor341,center341
,,4. Hossainpur Upazila,"24.4165619, 90.6555614",worker342,citizen342,Coordinator342,Planner342,sensor342,center342
,,5. Itna Upazila,"24.5277816, 91.09584249999999",worker343,citizen343,Coordinator343,Planner343,sensor343,center343
,,6. Karimganj Upazila,"24.4680101, 90.8724819",worker344,citizen344,Coordinator344,Planner344,sensor344,center344
,,7. Katiadi Upazila,"24.252139, 90.79694769999999",worker345,citizen345,Coordinator345,Planner345,sensor345,center345
,,8. Kishoreganj Sadar Upazila,"24.4323946, 90.7868039",worker346,citizen346,Coordinator346,Planner346,sensor346,center346
,,9. Kuliarchar Upazila,"24.1367698, 90.9116263",worker347,citizen347,Coordinator347,Planner347,sensor347,center347
,,10. Mithamain Upazila,"24.4195583, 91.0634024",worker348,citizen348,Coordinator348,Planner348,sensor348,center348
,,11. Nikli Upazila,"24.3242946, 90.9336121",worker349,citizen349,Coordinator349,Planner349,sensor349,center349
,,12. Pakundia Upazila,"24.3280114, 90.6800847",worker350,citizen350,Coordinator350,Planner350,sensor350,center350
,,13. Tarail Upazila,"24.5494898, 90.8893308",worker351,citizen351,Coordinator351,Planner351,sensor351,center351
,Madaripur District,1. Rajoir Upazila,"23.2100451, 90.04852819999999",worker352,citizen352,Coordinator352,Planner352,sensor352,center352
,,2. Madaripur Sadar Upazila,"23.1649342, 90.19391139999999",worker353,citizen353,Coordinator353,Planner353,sensor353,center353
,,3. Kalkini Upazila,"23.0755017, 90.22673069999999",worker354,citizen354,Coordinator354,Planner354,sensor354,center354
,,4. Shibchar Upazila,"23.3343469, 90.1866407",worker355,citizen355,Coordinator355,Planner355,sensor355,center355
,,5. Dasar Upazila,Not Found,worker356,citizen356,Coordinator356,Planner356,sensor356,center356
,Manikganj District,1. Daulatpur Upazila,"24.0031127, 88.8759694",worker357,citizen357,Coordinator357,Planner357,sensor357,center357
,,2. Ghior Upazila,"23.8966166, 89.87127",worker358,citizen358,Coordinator358,Planner358,sensor358,center358
,,3. Harirampur Upazila,"23.7495773, 89.9746656",worker359,citizen359,Coordinator359,Planner359,sensor359,center359
,,4. Manikgonj Sadar Upazila,"23.8346765, 90.0186555",worker360,citizen360,Coordinator360,Planner360,sensor360,center360
,,5. Saturia Upazila,"23.9729721, 90.0361533",worker361,citizen361,Coordinator361,Planner361,sensor361,center361
,,6. Shivalaya Upazila,"23.8374291, 89.7873597",worker362,citizen362,Coordinator362,Planner362,sensor362,center362
,,7. Singair Upazila,"23.8143458, 90.1451337",worker363,citizen363,Coordinator363,Planner363,sensor363,center363
,Munshiganj District,1. Gazaria Upazila,"23.5478112, 90.62041649999999",worker364,citizen364,Coordinator364,Planner364,sensor364,center364
,,2. Lohajang Upazila,"23.4743053, 90.32072989999999",worker365,citizen365,Coordinator365,Planner365,sensor365,center365
,,3. Munshiganj Sadar Upazila,"23.5416259, 90.5302758",worker366,citizen366,Coordinator366,Planner366,sensor366,center366
,,4. Sirajdikhan Upazila,"23.5961616, 90.3936722",worker367,citizen367,Coordinator367,Planner367,sensor367,center367
,,5. Sreenagar Upazila,"23.542889, 90.29497289999999",worker368,citizen368,Coordinator368,Planner368,sensor368,center368
,,6. Tongibari Upazila,"23.5096549, 90.4667501",worker369,citizen369,Coordinator369,Planner369,sensor369,center369
,Narayanganj District,1. Araihazar Upazila,"23.7916557, 90.6535914",worker370,citizen370,Coordinator370,Planner370,sensor370,center370
,,2. Bandar Upazila,"23.6327767, 90.5246511",worker371,citizen371,Coordinator371,Planner371,sensor371,center371
,,3. Narayanganj Sadar Upazila,"23.6237484, 90.4998615",worker372,citizen372,Coordinator372,Planner372,sensor372,center372
,,4. Rupganj Upazila,"23.8277907, 90.5416345",worker373,citizen373,Coordinator373,Planner373,sensor373,center373
,,5. Sonargaon Upazila,"23.6359567, 90.5949594",worker374,citizen374,Coordinator374,Planner374,sensor374,center374
,Narsingdi District,1. Narsingdi Sadar Upazila,"23.9214006, 90.719657",worker375,citizen375,Coordinator375,Planner375,sensor375,center375
,,2. Belabo Upazila,"24.105044, 90.8514464",worker376,citizen376,Coordinator376,Planner376,sensor376,center376
,,3. Monohardi Upazila,"24.1409605, 90.7031816",worker377,citizen377,Coordinator377,Planner377,sensor377,center377
,,4. Palash Upazila,"23.9805097, 90.64670339999999",worker378,citizen378,Coordinator378,Planner378,sensor378,center378
,,5. Raipura Upazila,"23.99444, 90.87175669999999",worker379,citizen379,Coordinator379,Planner379,sensor379,center379
,,6. Shibpur Upazila,"23.9801051, 90.7332793",worker380,citizen380,Coordinator380,Planner380,sensor380,center380
,Rajbari District,1. Baliakandi Upazila,"23.6347999, 89.5472523",worker381,citizen381,Coordinator381,Planner381,sensor381,center381
,,2. Goalandaghat Upazila,"23.7236607, 89.76373029999999",worker382,citizen382,Coordinator382,Planner382,sensor382,center382
,,3. Pangsha Upazila,"23.7790871, 89.4192291",worker383,citizen383,Coordinator383,Planner383,sensor383,center383
,,4. Rajbari Sadar Upazila,"23.7527349, 89.64458599999999",worker384,citizen384,Coordinator384,Planner384,sensor384,center384
,,5. Kalukhali Upazila,"23.7653703, 89.48563039999999",worker385,citizen385,Coordinator385,Planner385,sensor385,center385
,Shariatpur District,1. Bhedarganj Upazila,"23.1971126, 90.4455606",worker386,citizen386,Coordinator386,Planner386,sensor386,center386
,,2. Damudya Upazila,"23.1447429, 90.436391",worker387,citizen387,Coordinator387,Planner387,sensor387,center387
,,3. Gosairhat Upazila,"23.0988395, 90.45259539999999",worker388,citizen388,Coordinator388,Planner388,sensor388,center388
,,4. Naria Upazila,"23.3068418, 90.40746469999999",worker389,citizen389,Coordinator389,Planner389,sensor389,center389
,,5. Shariatpur Sadar Upazila,"23.219547, 90.34825119999999",worker390,citizen390,Coordinator390,Planner390,sensor390,center390
,,6. Zajira Upazila,"23.3403249, 90.3324856",worker391,citizen391,Coordinator391,Planner391,sensor391,center391
,Tangail District,1. Gopalpur Upazila,"24.5620716, 89.9280467",worker392,citizen392,Coordinator392,Planner392,sensor392,center392
,,2. Basail Upazila,"24.2330971, 90.0513246",worker393,citizen393,Coordinator393,Planner393,sensor393,center393
,,3. Bhuapur Upazila,"24.4584326, 89.8752394",worker394,citizen394,Coordinator394,Planner394,sensor394,center394
,,4. Delduar Upazila,"24.1647394, 89.96501339999999",worker395,citizen395,Coordinator395,Planner395,sensor395,center395
,,5. Ghatail Upazila,"24.4803796, 89.9733698",worker396,citizen396,Coordinator396,Planner396,sensor396,center396
,,6. Kalihati Upazila,"24.3882285, 89.99538919999999",worker397,citizen397,Coordinator397,Planner397,sensor397,center397
,,7. Madhupur Upazila,"24.6072161, 90.0288144",worker398,citizen398,Coordinator398,Planner398,sensor398,center398
,,8. Mirzapur Upazila,"24.1020998, 90.0945308",worker399,citizen399,Coordinator399,Planner399,sensor399,center399
,,9. Nagarpur Upazila,"24.0576707, 89.87623769999999",worker400,citizen400,Coordinator400,Planner400,sensor400,center400
,,10. Sakhipur Upazila,"24.3191857, 90.1752525",worker401,citizen401,Coordinator401,Planner401,sensor401,center401
,,11. Dhanbari Upazila,"24.6770884, 89.95219519999999",worker402,citizen402,Coordinator402,Planner402,sensor402,center402
,,12. Tangail Sadar Upazila,"24.2510087, 89.9169233",worker403,citizen403,Coordinator403,Planner403,sensor403,center403
Khulna,Bagerhat District,1. Bagerhat Sadar Upazila,"22.6562568, 89.7950346",worker404,citizen404,Coordinator404,Planner404,sensor404,center404
,,2. Chitalmari Upazila,"22.7904387, 89.8778169",worker405,citizen405,Coordinator405,Planner405,sensor405,center405
,,3. Fakirhat Upazila,"22.777513, 89.7074695",worker406,citizen406,Coordinator406,Planner406,sensor406,center406
,,4. Kachua Upazila,"23.3431888, 90.8913478",worker407,citizen407,Coordinator407,Planner407,sensor407,center407
,,5. Mollahat Upazila,"22.926679, 89.8060758",worker408,citizen408,Coordinator408,Planner408,sensor408,center408
,,6. Mongla Upazila,"22.5304664, 89.5901256",worker409,citizen409,Coordinator409,Planner409,sensor409,center409
,,7. Morrelganj Upazila,"22.4499409, 89.85284159999999",worker410,citizen410,Coordinator410,Planner410,sensor410,center410
,,8. Rampal Upazila,"22.5837317, 89.6721038",worker411,citizen411,Coordinator411,Planner411,sensor411,center411
,,9. Sarankhola Upazila,"22.3129365, 89.8480496",worker412,citizen412,Coordinator412,Planner412,sensor412,center412
,Chuadanga District,1. Alamdanga Upazila,"23.7602951, 88.9489407",worker413,citizen413,Coordinator413,Planner413,sensor413,center413
,,2. Chuadanga Sadar Upazila,"23.6422267, 88.85755119999999",worker414,citizen414,Coordinator414,Planner414,sensor414,center414
,,3. Damurhuda Upazila,"23.6067377, 88.7758503",worker415,citizen415,Coordinator415,Planner415,sensor415,center415
,,4. Jibannagar Upazila,"23.420935, 88.822277",worker416,citizen416,Coordinator416,Planner416,sensor416,center416
,Jashore District,1. Abhaynagar Upazila,"23.0119596, 89.3889825",worker417,citizen417,Coordinator417,Planner417,sensor417,center417
,,2. Bagherpara Upazila,"23.2204236, 89.3466838",worker418,citizen418,Coordinator418,Planner418,sensor418,center418
,,3. Chaugachha Upazila,"23.2630483, 89.020432",worker419,citizen419,Coordinator419,Planner419,sensor419,center419
,,4. Jhikargachha Upazila,"23.1004467, 89.09922159999999",worker420,citizen420,Coordinator420,Planner420,sensor420,center420
,,5. Keshabpur Upazila,"22.908431, 89.2194193",worker421,citizen421,Coordinator421,Planner421,sensor421,center421
,,6. Jashore Sadar Upazila,"23.1778945, 89.1800385",worker422,citizen422,Coordinator422,Planner422,sensor422,center422
,,7. Manirampur Upazila,"23.0241761, 89.2329287",worker423,citizen423,Coordinator423,Planner423,sensor423,center423
,,8. Sharsha Upazila,"23.055077, 88.9516415",worker424,citizen424,Coordinator424,Planner424,sensor424,center424
,Jhenaida District,1. Harinakunda Upazila,"23.6486567, 89.0453399",worker425,citizen425,Coordinator425,Planner425,sensor425,center425
,,2. Jhenaidah Sadar Upazila,"23.54493, 89.1725247",worker426,citizen426,Coordinator426,Planner426,sensor426,center426
,,3. Kaliganj Upazila,"23.3562518, 89.1515476",worker427,citizen427,Coordinator427,Planner427,sensor427,center427
,,4. Kotchandpur Upazila,"23.4071352, 89.0105399",worker428,citizen428,Coordinator428,Planner428,sensor428,center428
,,5. Maheshpur Upazila,"23.3598198, 88.9171619",worker429,citizen429,Coordinator429,Planner429,sensor429,center429
,,6. Shailkupa Upazila,"23.6840828, 89.2419658",worker430,citizen430,Coordinator430,Planner430,sensor430,center430
,Khulna District,1. Batiaghata Upazila,"22.7263608, 89.5025641",worker431,citizen431,Coordinator431,Planner431,sensor431,center431
,,2. Dacope Upazila,"22.6049011, 89.5198862",worker432,citizen432,Coordinator432,Planner432,sensor432,center432
,,3. Dumuria Upazila,"22.8051822, 89.4193885",worker433,citizen433,Coordinator433,Planner433,sensor433,center433
,,4. Dighalia Upazila,"22.8958119, 89.5218474",worker434,citizen434,Coordinator434,Planner434,sensor434,center434
,,5. Koyra Upazila,"22.3515215, 89.28590849999999",worker435,citizen435,Coordinator435,Planner435,sensor435,center435
,,6. Paikgachha Upazila,"22.593841, 89.3126166",worker436,citizen436,Coordinator436,Planner436,sensor436,center436
,,7. Phultala Upazila,"22.9705775, 89.45055099999999",worker437,citizen437,Coordinator437,Planner437,sensor437,center437
,,8. Rupsha Upazila,"22.8004577, 89.5868179",worker438,citizen438,Coordinator438,Planner438,sensor438,center438
,,9. Terokhada Upazila,"22.9353223, 89.6675144",worker439,citizen439,Coordinator439,Planner439,sensor439,center439
,Kushtia District,1. Bheramara Upazila,"24.1055071, 88.9654154",worker440,citizen440,Coordinator440,Planner440,sensor440,center440
,,2. Daulatpur Upazila,"24.0031127, 88.8759694",worker441,citizen441,Coordinator441,Planner441,sensor441,center441
,,3. Khoksa Upazila,"23.8058265, 89.2836391",worker442,citizen442,Coordinator442,Planner442,sensor442,center442
,,4. Kumarkhali Upazila,"23.8620935, 89.2408504",worker443,citizen443,Coordinator443,Planner443,sensor443,center443
,,5. Kushtia Sadar Upazila,"23.8799007, 89.0920225",worker444,citizen444,Coordinator444,Planner444,sensor444,center444
,,6. Mirpur Upazila,"23.9376771, 88.99773789999999",worker445,citizen445,Coordinator445,Planner445,sensor445,center445
,Magura District,1. Magura Sadar Upazila,"23.4857954, 89.4190136",worker446,citizen446,Coordinator446,Planner446,sensor446,center446
,,2. Mohammadpur Upazila,"23.3996487, 89.5827044",worker447,citizen447,Coordinator447,Planner447,sensor447,center447
,,3. Shalikha Upazila,"23.3020599, 89.37612279999999",worker448,citizen448,Coordinator448,Planner448,sensor448,center448
,,4. Sreepur Upazila,"24.200673, 90.47364329999999",worker449,citizen449,Coordinator449,Planner449,sensor449,center449
,Meherpur District,1. Gangni Upazila,"23.8206519, 88.74218309999999",worker450,citizen450,Coordinator450,Planner450,sensor450,center450
,,2. Meherpur Sadar Upazila,"23.7783277, 88.63143149999999",worker451,citizen451,Coordinator451,Planner451,sensor451,center451
,,3. Mujibnagar Upazila,"23.6468395, 88.5928589",worker452,citizen452,Coordinator452,Planner452,sensor452,center452
,Narail District,1. Kalia Upazila,"23.0381139, 89.6325445",worker453,citizen453,Coordinator453,Planner453,sensor453,center453
,,2. Lohagara Upazila,"22.0449236, 92.10782150000001",worker454,citizen454,Coordinator454,Planner454,sensor454,center454
,,3. Narail Sadar Upazila,"23.1733806, 89.5004273",worker455,citizen455,Coordinator455,Planner455,sensor455,center455
,Satkhira District,1. Assasuni Upazila,"22.5462297, 89.1725987",worker456,citizen456,Coordinator456,Planner456,sensor456,center456
,,2. Debhata Upazila,"22.5809462, 88.9892448",worker457,citizen457,Coordinator457,Planner457,sensor457,center457
,,3. Kalaroa Upazila,"22.8573021, 89.0417406",worker458,citizen458,Coordinator458,Planner458,sensor458,center458
,,4. Kaliganj Upazila,"23.9210751, 90.56688729999999",worker459,citizen459,Coordinator459,Planner459,sensor459,center459
,,5. Satkhira Sadar Upazila,"22.7184973, 89.0704787",worker460,citizen460,Coordinator460,Planner460,sensor460,center460
,,6. Shyamnagar Upazila,"22.3392217, 89.10597899999999",worker461,citizen461,Coordinator461,Planner461,sensor461,center461
,,7. Tala Upazila,"22.7502633, 89.25624080000001",worker462,citizen462,Coordinator462,Planner462,sensor462,center462
Sylhet,Habiganj District,1. Ajmiriganj Upazila,"24.5489217, 91.2361706",worker463,citizen463,Coordinator463,Planner463,sensor463,center463
,,2. Bahubal Upazila,"24.3412478, 91.5378109",worker464,citizen464,Coordinator464,Planner464,sensor464,center464
,,3. Baniyachong Upazila,"24.52431, 91.36156410000001",worker465,citizen465,Coordinator465,Planner465,sensor465,center465
,,4. Chunarughat Upazila,"24.1973581, 91.51723150000001",worker466,citizen466,Coordinator466,Planner466,sensor466,center466
,,5. Habiganj Sadar Upazila,"24.3841001, 91.4168792",worker467,citizen467,Coordinator467,Planner467,sensor467,center467
