Divison,District,Upazila,"Lat,long",worker,citizen,Coordinator ,Planner,sensors,centers
,,4. Durgapur Upazila,"24.4450645, 88.7709835",worker54,citizen54,Coordinator54,Planner54,sensor54,center54
,,5. Godagari Upazila,"24.4588129, 88.3360493",worker55,citizen55,Coordinator55,Planner55,sensor55,center55
,,6. Mohanpur Upazila,"24.544858, 88.63619589999999",worker56,citizen56,Coordinator56,Planner56,sensor56,center56
,,7. Paba Upazila,"24.4350479, 88.64343079999999",worker57,citizen57,Coordinator57,Planner57,sensor57,center57
,,8. Puthia Upazila,"24.3638464, 88.8366628",worker58,citizen58,Coordinator58,Planner58,sensor58,center58
,,9. Tanore Upazila,"24.5892635, 88.5764603",worker59,citizen59,Coordinator59,Planner59,sensor59,center59
,Sirajganj District,1. Belkuchi Upazila,"24.2931357, 89.6974346",worker60,citizen60,Coordinator60,Planner60,sensor60,center60
,,2. Chauhali Upazila,"24.1942685, 89.7470163",worker61,citizen61,Coordinator61,Planner61,sensor61,center61
,,3. Kamarkhanda Upazila,"24.360539, 89.66519679999999",worker62,citizen62,Coordinator62,Planner62,sensor62,center62
,,4. Kazipur Upazila,"24.6520833, 89.6335162",worker63,citizen63,Coordinator63,Planner63,sensor63,center63
,,5. Raiganj Upazila,"24.5294849, 89.54521079999999",worker64,citizen64,Coordinator64,Planner64,sensor64,center64
,,6. Shahjadpur Upazila,"24.175939, 89.5946441",worker65,citizen65,Coordinator65,Planner65,sensor65,center65
,,7. Sirajganj Sadar Upazila,"24.4524175, 89.7045249",worker66,citizen66,Coordinator66,Planner66,sensor66,center66
,,8. Tarash Upazila,"24.4305719, 89.37157429999999",worker67,citizen67,Coordinator67,Planner67,sensor67,center67
,,9. Ullahpara Upazila,"24.3127536, 89.56848959999999",worker68,citizen68,Coordinator68,Planner68,sensor68,center68
Rangpur,Dinajpur District,1. Biral Upazila,"25.6334796, 88.5504897",worker69,citizen69,Coordinator69,Planner69,sensor69,center69
,,2. Birampur Upazila,"25.3898693, 88.99189419999999",worker70,citizen70,Coordinator70,Planner70,sensor70,center70
,,3. Birganj Upazila,"25.8606598, 88.65497289999999",worker71,citizen71,Coordinator71,Planner71,sensor71,center71
,,4. Bochaganj Upazila,"25.7997217, 88.46218909999999",worker72,citizen72,Coordinator72,Planner72,sensor72,center72
,,5. Chirirbandar Upazila,"25.6502881, 88.77603649999999",worker73,citizen73,Coordinator73,Planner73,sensor73,center73
,,6. Dinajpur Sadar Upazila,"25.636567, 88.63857300000001",worker74,citizen74,Coordinator74,Planner74,sensor74,center74
,,7. Ghoraghat Upazila,"25.3006863, 89.1808503",worker75,citizen75,Coordinator75,Planner75,sensor75,center75
,,8. Hakimpur Upazila,"25.2748194, 89.0132306",worker76,citizen76,Coordinator76,Planner76,sensor76,center76
